variable,estimate,lci,uci,type,group,est_ci,spouse,n
h_sbp,132.1,130.9,133.3,Continuous,NA,"132.1 (130.9, 133.3)",Husband,926
h_dbp,70.1,68.9,71.4,Continuous,NA,"70.1 (68.9, 71.4)",Husband,926
h_weight,83.9,82.5,85.3,Continuous,NA,"83.9 (82.5, 85.3)",Husband,972
h_height,172.7,172,173.3,Continuous,NA,"172.7 (172, 173.3)",Husband,997
h_bmi,28.1,27.6,28.6,Continuous,NA,"28.1 (27.6, 28.6)",Husband,960
h_age,74.2,73.4,75,Continuous,NA,"74.2 (73.4, 75)",Husband,1019
h_eduyr,2.9,2.7,3.2,Continuous,NA,"2.9 (2.7, 3.2)",Husband,1019
h_children,2.4,2.3,2.5,Continuous,NA,"2.4 (2.3, 2.5)",Husband,1019
h_lengthmar,45.8,44.2,47.3,Continuous,NA,"45.8 (44.2, 47.3)",Husband,851
h_moderate_pa,0.6,0.6,0.7,Continuous,NA,"0.6 (0.6, 0.7)",Husband,1019
h_vigorous_pa,0.2,0.2,0.2,Continuous,NA,"0.2 (0.2, 0.2)",Husband,1019
h_diagnosed_bp,56.1,51.2,61,Proportion,NA,"56.1 (51.2, 61)",Husband,1019
h_medication_bp,46.2,39.6,52.8,Proportion,NA,"46.2 (39.6, 52.8)",Husband,1019
h_diagnosed_dm,16.9,14.1,19.7,Proportion,NA,"16.9 (14.1, 19.7)",Husband,1019
h_medication_dm,13.2,11,15.3,Proportion,NA,"13.2 (11, 15.3)",Husband,1019
h_heavydrinker,13.6,10.9,16.2,Proportion,NA,"13.6 (10.9, 16.2)",Husband,911
h_employment,12,6.4,17.5,Proportion,NA,"12 (6.4, 17.5)",Husband,1019
h_retirement,85.7,82.3,89,Proportion,NA,"85.7 (82.3, 89)",Husband,1019
h_smokeever,74.2,69.5,79,Proportion,NA,"74.2 (69.5, 79)",Husband,1019
h_smokecurr,5.8,4.8,6.8,Proportion,NA,"5.8 (4.8, 6.8)",Husband,1019
h_alcohol,90.6,88.5,92.8,Proportion,NA,"90.6 (88.5, 92.8)",Husband,911
h_lengthmar_ge10,99.9,99.5,100.2,Proportion,NA,"99.9 (99.5, 100.2)",Husband,851
h_insurance,8,3.3,12.6,Proportion,NA,"8 (3.3, 12.6)",Husband,1019
h_htn,67.8,64.9,70.7,Proportion,NA,"67.8 (64.9, 70.7)",Husband,1019
h_education_h,26.3,20,32.6,Grouped,Less than lower secondary,"26.3 (20, 32.6)",Husband,976
h_education_h,19.4,15.8,23.1,Grouped,Tertiary,"19.4 (15.8, 23.1)",Husband,976
h_education_h,49.4,45.2,53.7,Grouped,Upper secondary and vocational training,"49.4 (45.2, 53.7)",Husband,976
h_education_h,4.8,3,6.6,Grouped,NA,"4.8 (3, 6.6)",Husband,976
h_race,1.7,-0.2,3.6,Grouped,Non-White,"1.7 (-0.2, 3.6)",Husband,1019
h_race,98.3,96.4,100.2,Grouped,White,"98.3 (96.4, 100.2)",Husband,1019
h_religion,77.9,73.2,82.5,Grouped,Christian,"77.9 (73.2, 82.5)",Husband,1019
h_religion,16.5,12.8,20.1,Grouped,None,"16.5 (12.8, 20.1)",Husband,1019
h_religion,5.7,2,9.3,Grouped,Other,"5.7 (2, 9.3)",Husband,1019
h_laborforce,2.2,1.5,2.8,Grouped,None,"2.2 (1.5, 2.8)",Husband,1018
h_laborforce,10.2,7.8,12.5,Grouped,Formal,"10.2 (7.8, 12.5)",Husband,1018
h_laborforce,87.6,84.9,90.2,Grouped,Retired,"87.6 (84.9, 90.2)",Husband,1018
h_laborforce,0.1,-0.1,0.4,Grouped,NA,"0.1 (-0.1, 0.4)",Husband,1018
h_smoke,25.8,21,30.5,Grouped,Never,"25.8 (21, 30.5)",Husband,1019
h_smoke,68.4,64.3,72.5,Grouped,Former,"68.4 (64.3, 72.5)",Husband,1019
h_smoke,5.8,4.8,6.8,Grouped,Current,"5.8 (4.8, 6.8)",Husband,1019
w_sbp,131.5,129.7,133.3,Continuous,NA,"131.5 (129.7, 133.3)",Wife,902
w_dbp,70.4,68.9,71.9,Continuous,NA,"70.4 (68.9, 71.9)",Wife,902
w_weight,71.5,70,72.9,Continuous,NA,"71.5 (70, 72.9)",Wife,953
w_height,159.5,159,160,Continuous,NA,"159.5 (159, 160)",Wife,966
w_bmi,28.1,27.6,28.6,Continuous,NA,"28.1 (27.6, 28.6)",Wife,937
w_age,72.5,71.8,73.3,Continuous,NA,"72.5 (71.8, 73.3)",Wife,988
w_eduyr,3.1,2.8,3.3,Continuous,NA,"3.1 (2.8, 3.3)",Wife,988
w_children,2.4,2.2,2.5,Continuous,NA,"2.4 (2.2, 2.5)",Wife,988
w_lengthmar,46.7,45.2,48.3,Continuous,NA,"46.7 (45.2, 48.3)",Wife,838
