variable,estimate,lci,uci,type,group,est_ci,spouse,n
h_sbp,132.1,130.9,133.3,Continuous,NA,"132.1 (130.9, 133.3)",Husband,926
h_dbp,70.1,68.9,71.4,Continuous,NA,"70.1 (68.9, 71.4)",Husband,926
h_weight,83.9,82.5,85.3,Continuous,NA,"83.9 (82.5, 85.3)",Husband,972
h_height,172.7,172,173.3,Continuous,NA,"172.7 (172, 173.3)",Husband,997
h_bmi,28.1,27.6,28.6,Continuous,NA,"28.1 (27.6, 28.6)",Husband,960
h_age,74.2,73.4,75,Continuous,NA,"74.2 (73.4, 75)",Husband,1019
h_eduyr,2.9,2.7,3.2,Continuous,NA,"2.9 (2.7, 3.2)",Husband,1019
h_children,2.4,2.3,2.5,Continuous,NA,"2.4 (2.3, 2.5)",Husband,1019
h_lengthmar,45.8,44.2,47.3,Continuous,NA,"45.8 (44.2, 47.3)",Husband,851
h_moderate_pa,0.6,0.6,0.7,Continuous,NA,"0.6 (0.6, 0.7)",Husband,1019
h_vigorous_pa,0.2,0.2,0.2,Continuous,NA,"0.2 (0.2, 0.2)",Husband,1019
hh_size,2,2,2,Continuous,NA,"2 (2, 2)",Husband,1019
hh_wealth,482661.1,357789.8,607532.3,Continuous,NA,"482661.1 (357789.8, 607532.3)",Husband,1017
hh_income,31747.4,29095.4,34399.3,Continuous,NA,"31747.4 (29095.4, 34399.3)",Husband,1017
hh_consumption,1944,211.6,3676.5,Continuous,NA,"1944 (211.6, 3676.5)",Husband,928
hh_lengthmar,45.7,44.1,47.3,Continuous,NA,"45.7 (44.1, 47.3)",Husband,882
h_diagnosed_bp,56.1,51.2,61,Proportion,NA,"56.1 (51.2, 61)",Husband,1019
h_medication_bp,46.2,39.6,52.8,Proportion,NA,"46.2 (39.6, 52.8)",Husband,1019
h_diagnosed_dm,16.9,14.1,19.7,Proportion,NA,"16.9 (14.1, 19.7)",Husband,1019
h_medication_dm,13.2,11,15.3,Proportion,NA,"13.2 (11, 15.3)",Husband,1019
h_heavydrinker,13.6,10.9,16.2,Proportion,NA,"13.6 (10.9, 16.2)",Husband,911
h_employment,12,6.4,17.5,Proportion,NA,"12 (6.4, 17.5)",Husband,1019
h_retirement,85.7,82.3,89,Proportion,NA,"85.7 (82.3, 89)",Husband,1019
h_smokeever,74.2,69.5,79,Proportion,NA,"74.2 (69.5, 79)",Husband,1019
h_smokecurr,5.8,4.8,6.8,Proportion,NA,"5.8 (4.8, 6.8)",Husband,1019
h_alcohol,90.6,88.5,92.8,Proportion,NA,"90.6 (88.5, 92.8)",Husband,911
h_lengthmar_ge10,99.9,99.5,100.2,Proportion,NA,"99.9 (99.5, 100.2)",Husband,851
h_insurance,8,3.3,12.6,Proportion,NA,"8 (3.3, 12.6)",Husband,1019
h_htn,67.8,64.9,70.7,Proportion,NA,"67.8 (64.9, 70.7)",Husband,1019
hh_lengthmar_ge10,99.9,99.6,100.2,Proportion,NA,"99.9 (99.6, 100.2)",Husband,882
hh_htn,47.1,43.2,50.9,Proportion,NA,"47.1 (43.2, 50.9)",Husband,1019
h_education_h,27.7,21.3,34,Grouped,Less than lower secondary,"27.7 (21.3, 34)",Husband,976
h_education_h,20.4,16.5,24.3,Grouped,Tertiary,"20.4 (16.5, 24.3)",Husband,976
h_education_h,51.9,47.1,56.7,Grouped,Upper secondary and vocational training,"51.9 (47.1, 56.7)",Husband,976
h_education_h,0,0,0,Grouped,NA,"0 (0, 0)",Husband,976
h_race,1.7,-0.2,3.6,Grouped,Non-White,"1.7 (-0.2, 3.6)",Husband,1019
h_race,98.3,96.4,100.2,Grouped,White,"98.3 (96.4, 100.2)",Husband,1019
h_religion,77.9,73.2,82.5,Grouped,Christian,"77.9 (73.2, 82.5)",Husband,1019
h_religion,16.5,12.8,20.1,Grouped,None,"16.5 (12.8, 20.1)",Husband,1019
h_religion,5.7,2,9.3,Grouped,Other,"5.7 (2, 9.3)",Husband,1019
hh_wealthquintile,14.1,7.3,20.9,Grouped,Lowest,"14.1 (7.3, 20.9)",Husband,1017
hh_wealthquintile,20.6,10,31.3,Grouped,Low,"20.6 (10, 31.3)",Husband,1017
hh_wealthquintile,20.9,18.1,23.7,Grouped,Medium,"20.9 (18.1, 23.7)",Husband,1017
hh_wealthquintile,22.2,15.8,28.6,Grouped,High,"22.2 (15.8, 28.6)",Husband,1017
hh_wealthquintile,22.2,12.7,31.6,Grouped,Highest,"22.2 (12.7, 31.6)",Husband,1017
hh_wealthquintile,0,0,0,Grouped,NA,"0 (0, 0)",Husband,1017
hh_consumptionquintile,11.5,7.7,15.3,Grouped,Lowest,"11.5 (7.7, 15.3)",Husband,927
hh_consumptionquintile,19.7,14.9,24.5,Grouped,Low,"19.7 (14.9, 24.5)",Husband,927
